policy_group_id,organisation_entity,article4_direction,area_count,direction_metadata_available,name_evidence,description_evidence,notes_evidence,permitted_development_rights_evidence,direction_name_evidence,direction_description_evidence,direction_notes_evidence,effective_start_dates,ai_evidence_basis,manual_decision,reason
278::Ar4.25,278,Ar4.25,1,TRUE,Porters Wood/Soothouse Spring,,,P3CO;P3CP;P3CPA,Porters Wood/Soothouse Spring,Removal of permitted development rights to change office/light industrial/storage and distribution premises to residential use in some of the District’s main employment areas,,2017/3/20,explicit commercial/office → residential wording,INCLUDE,Official source text explicitly restricts conversion/change of use from commercial/office/employment premises to residential use.
278::Ar4.26,278,Ar4.26,1,TRUE,Southdown Industrial Estate,,,P3CO;P3CP;P3CPA,Southdown Industrial Estate,Removal of permitted development rights to change office/light industrial/storage and distribution premises to residential use in some of the District’s main employment areas,,2017/3/20,explicit commercial/office → residential wording,INCLUDE,Official source text explicitly restricts conversion/change of use from commercial/office/employment premises to residential use.
278::Ar4.27,278,Ar4.27,1,TRUE,St Albans Abbey Station,,,P3CO,St Albans Abbey Station,Removal of permitted development rights to change office/light industrial/storage and distribution premises to residential use in some of the District’s main employment areas,,2017/3/20,explicit commercial/office → residential wording,INCLUDE,Official source text explicitly restricts conversion/change of use from commercial/office/employment premises to residential use.
278::Ar4.28,278,Ar4.28,1,TRUE,St Albans City Core,,,P3CO,St Albans City Core,Removal of permitted development rights to change office/light industrial/storage and distribution premises to residential use in some of the District’s main employment areas,,2017/3/20,explicit commercial/office → residential wording,INCLUDE,Official source text explicitly restricts conversion/change of use from commercial/office/employment premises to residential use.
278::Ar4.29,278,Ar4.29,1,TRUE,St Albans City Station,,,P3CO,St Albans City Station,Removal of permitted development rights to change office/light industrial/storage and distribution premises to residential use in some of the District’s main employment areas,,2017/3/20,explicit commercial/office → residential wording,INCLUDE,Official source text explicitly restricts conversion/change of use from commercial/office/employment premises to residential use.
329::172,329,172,1,TRUE,Site allocation NSP14: Tower Workshops,172,Change of use from Class E to residential is restricted,None given,Site allocation NSP14: Tower Workshops,172,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::181,329,181,1,TRUE,Site allocation NSP48: Elephant & Castle Shopping Centre and London College of Communication,181,Change of use from Class E to residential is restricted,None given,Site allocation NSP48: Elephant & Castle Shopping Centre and London College of Communication,181,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::194,329,194,1,TRUE,"Site allocation NSP81: Harmsworth Quays, Surrey Quays Leisure Park, Surrey Quays Shopping Centre and Robert’s Close",194,Change of use from Class E to residential is restricted,None given,"Site allocation NSP81: Harmsworth Quays, Surrey Quays Leisure Park, Surrey Quays Shopping Centre and Robert’s Close",194,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::202,329,202,1,TRUE,Site allocation NSP59: 107 Dunton Road (Tesco store and car park) and Southernwood Retail Park,202,Change of use from Class E to residential is restricted,None given,Site allocation NSP59: 107 Dunton Road (Tesco store and car park) and Southernwood Retail Park,202,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::231,329,231,1,TRUE,Protected shopping frontage SF7: The Cut,231,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF7: The Cut,231,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::232,329,232,1,TRUE,Protected shopping frontage SF6: Hopton Street,232,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF6: Hopton Street,232,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::233,329,233,1,TRUE,Protected shopping frontage SF12: Colechurch House,233,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF12: Colechurch House,233,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::234,329,234,1,TRUE,Protected shopping frontage SF14: Tooley Street,234,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF14: Tooley Street,234,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::235,329,235,1,TRUE,Protected shopping frontage SF39: North Cross Road,235,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF39: North Cross Road,235,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::236,329,236,1,TRUE,Protected shopping frontage SF43: Dulwich Village and Calton Avenue,236,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF43: Dulwich Village and Calton Avenue,236,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::237,329,237,1,TRUE,Protected shopping frontage SF36: East Dulwich Road,237,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF36: East Dulwich Road,237,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::238,329,238,1,TRUE,Protected shopping frontage SF40: Herne Hill,238,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF40: Herne Hill,238,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::239,329,239,1,TRUE,Protected shopping frontage SF37: Crossthwaite Avenue,239,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF37: Crossthwaite Avenue,239,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::240,329,240,1,TRUE,Protected shopping frontage SF16: Dockhead,240,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF16: Dockhead,240,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::241,329,241,1,TRUE,Protected shopping frontage SF17: Jamaica Road,241,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF17: Jamaica Road,241,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::242,329,242,1,TRUE,Protected shopping frontage SF19: Albion Street,242,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF19: Albion Street,242,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::243,329,243,1,TRUE,Protected shopping frontage SF54: Camberwell Road,243,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF54: Camberwell Road,243,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::244,329,244,1,TRUE,Protected shopping frontage SF56: Camberwell Road,244,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF56: Camberwell Road,244,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::245,329,245,1,TRUE,Protected shopping frontage SF26: Maddock Way,245,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF26: Maddock Way,245,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::246,329,246,1,TRUE,Protected shopping frontage SF52: Camberwell New Road,246,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF52: Camberwell New Road,246,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::247,329,247,1,TRUE,Protected shopping frontage SF29: Vestry Road,247,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF29: Vestry Road,247,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::248,329,248,1,TRUE,Protected shopping frontage SF53: Southampton Way,248,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF53: Southampton Way,248,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::249,329,249,1,TRUE,Protected shopping frontage SF32: Bellenden Road,249,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF32: Bellenden Road,249,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::250,329,250,1,TRUE,Protected shopping frontage SF47: Forest Hill Road,250,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF47: Forest Hill Road,250,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::251,329,251,1,TRUE,Protected shopping frontage SF46: Forest Hill Road,251,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF46: Forest Hill Road,251,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::252,329,252,1,TRUE,Protected shopping frontage SF50: Seeley Drive,252,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF50: Seeley Drive,252,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::253,329,253,1,TRUE,Protected shopping frontage SF49: Croxted Road and Park Hall Road,253,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF49: Croxted Road and Park Hall Road,253,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::254,329,254,1,TRUE,Protected shopping frontage SF9: Waterloo Road,254,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF9: Waterloo Road,254,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::255,329,255,1,TRUE,Protected shopping frontage SF10: Great Suffolk Street,255,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF10: Great Suffolk Street,255,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::256,329,256,1,TRUE,Protected shopping frontage SF20: Harper Road,256,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF20: Harper Road,256,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::257,329,257,1,TRUE,Protected shopping frontage SF13: Hay's Galleria,257,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF13: Hay's Galleria,257,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::258,329,258,1,TRUE,Protected shopping frontage SF11: Snowfields and Weston Street,258,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF11: Snowfields and Weston Street,258,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::259,329,259,1,TRUE,Protected shopping frontage SF15: Bermondsey Street,259,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF15: Bermondsey Street,259,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::260,329,260,1,TRUE,Protected shopping frontage SF21: Tower Bridge Road,260,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF21: Tower Bridge Road,260,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::261,329,261,1,TRUE,Protected shopping frontage SF18: Jamaica Road,261,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF18: Jamaica Road,261,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::262,329,262,1,TRUE,Protected shopping frontage SF22: Lower Road and Plough Way,262,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF22: Lower Road and Plough Way,262,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::263,329,263,1,TRUE,Protected shopping frontage SF25: Ilderton Road,263,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF25: Ilderton Road,263,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::264,329,264,1,TRUE,Protected shopping frontage SF5: The Blue,264,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF5: The Blue,264,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::265,329,265,1,TRUE,Protected shopping frontage SF27: Peckham Park Road and Old Kent Road,265,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF27: Peckham Park Road and Old Kent Road,265,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::266,329,266,1,TRUE,"Protected shopping frontage SF24: Old Kent Road, East Street and Dunton Road",266,Change of use from Class E to residential is restricted,None given,"Protected shopping frontage SF24: Old Kent Road, East Street and Dunton Road",266,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::267,329,267,1,TRUE,Protected shopping frontage SF2: Walworth Road,267,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF2: Walworth Road,267,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::268,329,268,1,TRUE,Protected shopping frontage SF33: Gibbon Road,268,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF33: Gibbon Road,268,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::269,329,269,1,TRUE,"Protected shopping frontage SF34: Evelina Road, Nunhead Green and Kirkwood Road",269,Change of use from Class E to residential is restricted,None given,"Protected shopping frontage SF34: Evelina Road, Nunhead Green and Kirkwood Road",269,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::270,329,270,1,TRUE,Protected shopping frontage SF51: Nunhead Grove and Nunhead Lane,270,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF51: Nunhead Grove and Nunhead Lane,270,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::271,329,271,1,TRUE,Protected shopping frontage SF38: Lordship Lane,271,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF38: Lordship Lane,271,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::272,329,272,1,TRUE,Protected shopping frontage SF35: Grove Vale,272,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF35: Grove Vale,272,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::273,329,273,1,TRUE,Protected shopping frontage SF48: Lordship Lane,273,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF48: Lordship Lane,273,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::274,329,274,1,TRUE,Protected shopping frontage SF45: Lordship Lane,274,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF45: Lordship Lane,274,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::275,329,275,1,TRUE,Protected shopping frontage SF44: Dulwich Village,275,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF44: Dulwich Village,275,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::276,329,276,1,TRUE,Protected shopping frontage SF41: Half Moon Lane,276,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF41: Half Moon Lane,276,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::277,329,277,1,TRUE,Protected shopping frontage SF42: Norwood Road,277,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF42: Norwood Road,277,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::278,329,278,1,TRUE,Protected shopping frontage SF31: Queen's Road,278,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF31: Queen's Road,278,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::279,329,279,1,TRUE,Protected shopping frontage SF8: Borough High Street,279,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF8: Borough High Street,279,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::280,329,280,1,TRUE,Protected shopping frontage SF1: Peckham,280,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF1: Peckham,280,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::281,329,281,1,TRUE,Protected shopping frontage SF28: Camberwell,281,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF28: Camberwell,281,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::282,329,282,1,TRUE,Protected shopping frontage SF4: Lordship Lane,282,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF4: Lordship Lane,282,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::283,329,283,1,TRUE,Protected shopping frontage SF3: Camberwell,283,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF3: Camberwell,283,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::284,329,284,1,TRUE,Protected shopping frontage SF30: Peckham,284,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF30: Peckham,284,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::285,329,285,1,TRUE,"Protected shopping frontage SF23: Walworth Road, East Street and Camberwell Road",285,Change of use from Class E to residential is restricted,None given,"Protected shopping frontage SF23: Walworth Road, East Street and Camberwell Road",285,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
329::286,329,286,1,TRUE,Protected shopping frontage SF55: East Street,286,Change of use from Class E to residential is restricted,None given,Protected shopping frontage SF55: East Street,286,Change of use from Class E to residential is restricted,,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
90::A4EC31,90,A4EC31,1,TRUE,"Commercial, Business, and Service (Use Class E) to residential (Use Class C3) (in CAZ)",,"Commercial, Business, and Service (Use Class E) to residential (Use Class C3) (in CAZ)",,"Commercial, Business, and Service (Use Class E) to residential (Use Class C3) (in CAZ)","Article 4 direction restricts change of use from Commercial, Business and Service use to Residentail in Central Activities Zone.","Commercial, Business, and Service (Use Class E) to residential (Use Class C3) (in CAZ)",2022/7/29,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
90::A4EC32,90,A4EC32,1,TRUE,"Commercial, Business, and Service (Use Class E) to residential (Use Class C3) (outside CAZ)",,"Commercial, Business, and Service (Use Class E) to residential (Use Class C3) (outside CAZ)",,"Commercial, Business, and Service (Use Class E) to residential (Use Class C3) (outside CAZ)","Article 4 direction restricts change of use from Commercial, Business and Service use to Residentail outside of Central Activities Zone.","Commercial, Business, and Service (Use Class E) to residential (Use Class C3) (outside CAZ)",2022/7/29,explicit Class E → residential wording,INCLUDE,Official source text explicitly restricts change of use from Class E/commercial business and service use to residential/C3.
