source_file,source_layer,include,tier,priority_order,selection_reason
planning_local_plan_data_02.gpkg,Neighbourhood_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_04.gpkg,Neighbourhood_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_04.gpkg,Town_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_05.gpkg,Town_Centre_Boundaries,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_06.gpkg,Town_Centre_Boundaries,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_08.gpkg,District_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_08.gpkg,Local_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_08.gpkg,Metropolitan_Centre,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_09.gpkg,Neighbourhood_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_09.gpkg,Town_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_10.gpkg,District_Centre,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_10.gpkg,Local_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_10.gpkg,Major_Centre,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_11.gpkg,District_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_11.gpkg,Town_Centre_Boundaries,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_12.gpkg,District_Town_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_12.gpkg,Major_Town_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_13.gpkg,Town_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_14.gpkg,District_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_15.gpkg,Town_Centre_Boundaries,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_16.gpkg,District_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_17.gpkg,Local_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_17.gpkg,Town_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_18.gpkg,Town_Centre_Boundaries,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_19.gpkg,Town_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_22.gpkg,District_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_22.gpkg,Local_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_22.gpkg,Major_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_23.gpkg,District_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_23.gpkg,Local_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_23.gpkg,Major_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_24.gpkg,Town_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_25.gpkg,Local_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_25.gpkg,Town_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_26.gpkg,District_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_26.gpkg,Local_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_26.gpkg,Metropolitan_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_27.gpkg,Town_Centre_Boundary,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_28.gpkg,District_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_28.gpkg,Local_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_28.gpkg,Major_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_29.gpkg,District_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_29.gpkg,Local_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_29.gpkg,Town_Centre_Boundary,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_30.gpkg,Town_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_31.gpkg,District_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_31.gpkg,Neighbourhood_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_31.gpkg,Wathamstow_Major_Centre,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_32.gpkg,Local_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_32.gpkg,Town_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_33.gpkg,District_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_33.gpkg,International_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_33.gpkg,Local_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_33.gpkg,Major_Centre,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_34.gpkg,Area_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_35.gpkg,Neighbourhood_Town_Centres,True,tier1,1,Confirmed explicit centre hierarchy / centre-boundary polygon layer.
planning_local_plan_data_01.gpkg,Principal_Shopping_Areas,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_05.gpkg,Primary_Shopping_Area,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_08.gpkg,Primary_Shopping_Areas,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_10.gpkg,Primary_Shopping_Area,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_12.gpkg,Primary_Shopping_Areas,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_14.gpkg,Primary_Shopping_Areas,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_15.gpkg,Primary_Shopping_Area,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_17.gpkg,Core_Shopping_Areas,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_17.gpkg,Primary_Shopping_Areas,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_18.gpkg,Primary_Shopping_Areas,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_19.gpkg,Local_Shopping_Areas,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_19.gpkg,Primary_Shopping_Areas,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_20.gpkg,District_Shopping_Centre,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_20.gpkg,International_Shopping_Centre,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_20.gpkg,Major_Shopping_Centres,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_20.gpkg,Neighbourhood_Shopping_Centres,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_20.gpkg,Special_District_Shopping_Centres,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_20.gpkg,Special_Neighbourhood_Shopping_Centres,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_22.gpkg,Central_Activities_Zone_Retail_Clusters,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_22.gpkg,Primary_Shopping_Areas,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_23.gpkg,Primary_Shopping_Areas,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_24.gpkg,Primary_Shopping_Areas,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_25.gpkg,Primary_Shopping_Areas,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_30.gpkg,Primary_Shopping_Areas,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_33.gpkg,CAZ_Retail_Clusters,True,tier2,2,Confirmed shopping-area / retail-centre polygon layer retained under the established Tier-2 fallback rule.
planning_local_plan_data_01.gpkg,Airport_Safeguarding_Area,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,Assets_of_Community_Value,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,Bank_Station_Safeguarding_Area,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,Cil,False,,99,No apparent centre-boundary signal in the layer name.
planning_local_plan_data_01.gpkg,City_Flood_Risk_Area,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,Conservation_Areas,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,Crossrail_Safeguarding_Area,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,Highway_Network,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,LVMF_Protected_Vistas,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,Monument_Views_and_Settings,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,Open_Space_Audit,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,Protected_Squares,False,,99,No apparent centre-boundary signal in the layer name.
planning_local_plan_data_01.gpkg,Riverside_Walk,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,Safeguarded_Wharf,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,Smoke_Control_Orders,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,St_Paul_s_Depth,False,,99,No apparent centre-boundary signal in the layer name.
planning_local_plan_data_01.gpkg,St_Paul_s_Heights_Policy_Area,False,,99,No apparent centre-boundary signal in the layer name.
planning_local_plan_data_01.gpkg,Tall_Buildings,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,Thames_Policy_Area,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,Thames_Tideway_Tunnel,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_01.gpkg,The_Temples,False,,99,No apparent centre-boundary signal in the layer name.
planning_local_plan_data_01.gpkg,Tower_of_London_WHS_Local_Setting_Area,False,,99,No apparent centre-boundary signal in the layer name.
planning_local_plan_data_02.gpkg,Air_Quality_Focus_Areas,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Allotments,False,,99,Exclude: non-polygon geometry cannot define the areal centre boundary required for spatial overlap/exposure.
planning_local_plan_data_02.gpkg,Archaeological_Priority_Areas,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Conservation_Areas,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,District_Centres,False,,99,"Exclude despite centre-related semantics: source geometry is point/line rather than polygon, so it cannot define the areal centre boundary required for Article 4 overlap."
planning_local_plan_data_02.gpkg,Flood_Risk_Zone_2,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Flood_Risk_Zone_3,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Green_Belt,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Green_Grid,False,,99,No apparent centre-boundary signal in the layer name.
planning_local_plan_data_02.gpkg,Gypsy_and_Traveller_Site,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Gypsy_and_Traveller_Site_Options,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Listed_Buildings,False,,99,Exclude: non-polygon geometry cannot define the areal centre boundary required for spatial overlap/exposure.
planning_local_plan_data_02.gpkg,Local_Views,False,,99,Exclude: non-polygon geometry cannot define the areal centre boundary required for spatial overlap/exposure.
planning_local_plan_data_02.gpkg,Locally_Significant_Industrial_Sites,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,London_Riverside_Opportunity_Area,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Metropolitan_Open_Land,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Public_Open_Space,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Safeguarded_Wharves,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Scheduled_Monuments,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Site_Allocations,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Sites_of_Importance_for_Nature_Conservation,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Strategic_Industrial_Locations,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Tall_Building_Locations,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_02.gpkg,Thames_Policy_Area,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_03.gpkg,Conservation_Areas,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_03.gpkg,Green_Belt,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_03.gpkg,Local_Nature_Reserve,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_03.gpkg,Metropolitan_Open_Land,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_03.gpkg,Metropolitan_Walks,False,,99,Exclude: non-polygon geometry cannot define the areal centre boundary required for spatial overlap/exposure.
planning_local_plan_data_03.gpkg,Road_network_GLA,False,,99,Exclude: non-polygon geometry cannot define the areal centre boundary required for spatial overlap/exposure.
planning_local_plan_data_03.gpkg,Road_network_SoS,False,,99,Exclude: non-polygon geometry cannot define the areal centre boundary required for spatial overlap/exposure.
planning_local_plan_data_03.gpkg,Site_of_Special_Scientific_Interest,False,,99,No apparent centre-boundary signal in the layer name.
planning_local_plan_data_03.gpkg,Sites_of_Importance_for_Nature_Conservation,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Aggregates_Sites_and_Facilities,False,,99,No apparent centre-boundary signal in the layer name.
planning_local_plan_data_04.gpkg,Allotments,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Ancient_Woodland,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Conservation_Areas_Updated_210212,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Crossness_Operational_Land,False,,99,No apparent centre-boundary signal in the layer name.
planning_local_plan_data_04.gpkg,Education_Land,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Functional_Floodplain,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Green_Belt,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Green_Corridors,False,,99,Exclude: non-polygon geometry cannot define the areal centre boundary required for spatial overlap/exposure.
planning_local_plan_data_04.gpkg,Gypsy_and_Traveller_Sites,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,LSIS,False,,99,No apparent centre-boundary signal in the layer name.
planning_local_plan_data_04.gpkg,Local_Nature_Reserves,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Local_Strategic_Views,False,,99,No apparent centre-boundary signal in the layer name.
planning_local_plan_data_04.gpkg,Metropolitan_Open_Land,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Minerals_Safeguarding_Area,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Panoramic_Viewpoints,False,,99,Exclude: non-polygon geometry cannot define the areal centre boundary required for spatial overlap/exposure.
planning_local_plan_data_04.gpkg,Primarily_Residential_Areas,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Regionally_and_Locally_Important_Geological_Sites,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Road_Hierarchy,False,,99,Exclude: non-polygon geometry cannot define the areal centre boundary required for spatial overlap/exposure.
planning_local_plan_data_04.gpkg,SINC_2022,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,SSSI,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Safeguarded_Wharves,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Site_Allocations,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,South_East_London_Green_Chain,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,South_East_London_Green_Chain_Walk,False,,99,Exclude: non-polygon geometry cannot define the areal centre boundary required for spatial overlap/exposure.
planning_local_plan_data_04.gpkg,Strategic_Industrial_Location,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Strategic_Waste_Sites,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Sustainable_Development_Locations,False,,99,No apparent centre-boundary signal in the layer name.
planning_local_plan_data_04.gpkg,Tall_Building_Areas,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Thames_Path,False,,99,Exclude: non-polygon geometry cannot define the areal centre boundary required for spatial overlap/exposure.
planning_local_plan_data_04.gpkg,Thames_Policy_Area,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Thames_Road_Dualling,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
planning_local_plan_data_04.gpkg,Thamesmead_and_Abbeywood_Opportunity_Area,False,,99,Layer name indicates another policy/designation or a frontage rather than the centre boundary.
